"Split","Shot","Method","NovelAP50_x100","NovelAP50","Source"
"1","3","Ours-Robust","44.70","0.4470","NWPU VHR-10 supplementary table"
"1","5","Ours-Robust","45.60","0.4560","NWPU VHR-10 supplementary table"
"1","10","Ours-Robust","66.10","0.6610","NWPU VHR-10 supplementary table"
"1","20","Ours-Robust","74.00","0.7400","NWPU VHR-10 supplementary table"
